中国省市
北京
天津
石家庄
唐山
邯郸
邢台
保定
沧州
秦皇岛
张家口
承德
廊坊
衡水
呼和浩特
乌海
鄂尔多斯
包头
赤峰
通辽
呼伦贝尔
巴彦淖尔
乌兰察布
兴安盟
锡林郭勒盟
济南
青岛
淄博
烟台
潍坊
济宁
泰安
临沂
滨州
枣庄
东营
威海
日照
莱芜
德州
聊城
菏泽
太原
大同
长治
晋城
朔州
晋中
运城
临汾
吕梁
阳泉
忻州
上海
合肥
芜湖
蚌埠
淮南
马鞍山
淮北
铜陵
安庆
黄山
滁州
阜阳
宿州
六安
亳州
池州
宣城
南京
无锡
徐州
常州
苏州
南通
盐城
扬州
泰州
连云港
淮安
镇江
宿迁
杭州
宁波
温州
嘉兴
绍兴
金华
台州
湖州
衢州
舟山
丽水
福州
厦门
泉州
莆田
三明
漳州
南平
龙岩
宁德
广州
深圳
佛山
惠州
东莞
中山
韶关
珠海
汕头
江门
湛江
茂名
肇庆
梅州
汕尾
河源
阳江
清远
潮州
揭阳
云浮
南宁
柳州
桂林
梧州
北海
钦州
贵港
玉林
百色
贺州
河池
防城港
来宾
崇左
海口
三亚
儋州
琼海
南昌
赣州
景德镇
九江
鹰潭
宜春
上饶
萍乡
新余
吉安
抚州
郑州
洛阳
新乡
开封
平顶山
安阳
鹤壁
焦作
濮阳
许昌
漯河
三门峡
南阳
商丘
信阳
周口
驻马店
济源
武汉
黄石
十堰
宜昌
襄阳
孝感
荆州
随州
恩施
潜江
鄂州
荆门
黄冈
咸宁
仙桃
天门
长沙
株洲
湘潭
衡阳
邵阳
岳阳
常德
张家界
益阳
郴州
怀化
娄底
湘西
永州
哈尔滨
齐齐哈尔
大庆
伊春
佳木斯
牡丹江
绥化
鸡西
鹤岗
双鸭山
七台河
黑河
大兴安岭
长春
吉林
四平
通化
松原
延边
辽源
白山
白城
沈阳
大连
鞍山
抚顺
本溪
丹东
锦州
营口
阜新
辽阳
盘锦
铁岭
朝阳
葫芦岛
重庆
贵阳
六盘水
遵义
安顺
毕节
铜仁
凯里
都匀市
兴义市
成都
自贡
攀枝花
泸州
德阳
绵阳
广元
遂宁
内江
乐山
南充
眉山
宜宾
广安
达州
雅安
巴中
资阳
凉山
拉萨
日喀则
昆明
文山
大理
曲靖
玉溪
丽江
临沧
楚雄
红河
西双版纳
保山
昭通
普洱
德宏
迪庆
兰州
白银
天水
武威
张掖
平凉
酒泉
庆阳
嘉峪关
金昌
定西
陇南
临夏
银川
石嘴山
吴忠
固原
中卫
西宁
海东
海西
西安
宝鸡
咸阳
渭南
延安
汉中
榆林
安康
铜川
商洛
乌鲁木齐
昌吉
巴音郭楞
阿克苏
喀什
伊犁
克拉玛依
吐鲁番
哈密
和田
塔城
阿勒泰
石河子
阿拉尔
图木舒克
五家渠
